id,category
616,5
617,1
618,3
619,2
620,2
621,2
622,1
623,2
624,2
625,1
626,2
627,1
628,3
629,3
630,2
631,1
632,1
633,1
634,3
635,1
636,3
637,3
638,5
639,5
640,3
641,2
642,1
643,2
644,1
645,3
646,1
647,5
648,2
649,5
650,2
651,2
652,3
653,2
654,3
655,3
656,3
657,1
658,3
659,5
660,2
661,3
662,2
663,2
664,2
665,3
666,5
667,1
668,3
669,5
670,5
671,1
672,1
673,2
674,1
675,2
676,2
677,1
678,2
679,5
680,2
681,5
682,1
683,1
684,3
685,1
686,3
687,1
688,1
689,1
690,3
691,3
692,5
693,3
694,5
695,1
696,2
697,5
698,3
699,2
700,3
701,1
702,2
703,3
704,3
705,3
706,1
707,3
708,5
709,3
710,1
711,1
712,1
713,3
714,1
715,2
716,5
717,3
718,1
719,1
720,2
721,2
722,2
723,3
724,1
725,1
726,1
727,2
728,1
729,3
730,2
731,1
732,1
733,5
734,3
735,3
736,1
737,2
738,3
739,2
740,5
741,1
742,5
743,3
744,1
745,1
746,3
747,3
748,3
749,2
750,3
751,1
752,1
753,2
754,1
755,1
756,2
757,3
758,1
759,1
760,2
761,2
762,2
763,3
764,3
765,2
766,5
767,1
768,1
769,1
770,2
771,2
772,1
773,1
774,3
775,2
776,2
777,1
778,2
779,1
780,5
781,1
782,3
783,2
784,5
785,1
786,5
787,3
788,3
789,2
790,1
791,2
792,1
793,5
794,3
795,1
796,3
797,5
798,3
