id,category
348,5
349,2
350,1
351,2
352,2
353,3
354,1
355,4
356,5
357,5
358,3
359,2
360,5
361,1
362,2
363,2
364,2
365,3
366,3
367,3
368,4
369,3
370,5
371,1
372,3
373,1
374,3
375,5
376,2
377,1
378,4
379,1
380,1
381,3
382,3
383,2
384,3
385,3
386,1
387,5
388,3
389,3
390,5
391,3
392,2
393,1
394,5
395,4
396,5
397,5
398,4
399,2
400,2
401,1
402,2
403,1
404,1
405,3
406,2
407,5
408,2
409,2
410,2
411,5
412,2
413,5
414,2
415,5
416,5
417,4
418,3
419,4
420,3
421,1
422,3
423,2
424,5
425,1
426,1
427,1
428,5
429,1
430,4
431,2
432,5
433,3
434,2
435,1
436,5
437,1
438,5
439,4
440,2
441,3
442,1
443,5
444,2
445,3
446,4
447,4
448,1
449,1
450,5
451,1
452,3
453,1
454,3
455,5
456,5
457,3
458,3
459,1
460,2
461,2
462,5
463,5
464,5
465,1
466,1
467,3
468,3
469,5
470,5
471,2
472,5
473,5
474,2
475,5
476,4
477,3
478,2
479,3
480,4
481,5
482,3
483,1
484,1
485,1
486,1
487,3
488,1
489,1
490,4
491,1
492,1
493,2
494,2
495,1
496,5
497,1
498,4
499,5
500,3
501,3
502,3
503,1
504,2
505,3
506,3
507,1
508,3
509,3
510,3
511,3
512,3
513,3
514,4
515,3
516,5
517,5
518,2
519,2
520,2
521,5
522,4
523,2
524,1
525,1
526,5
527,4
528,2
529,2
530,3
531,3
532,1
533,1
534,2
535,3
536,5
537,2
538,5
539,1
540,2
541,1
542,5
543,5
544,1
545,3
546,2
547,2
548,1
549,5
550,3
551,1
552,1
553,5
554,4
555,3
556,4
557,2
558,1
559,1
560,3
561,1
562,5
563,2
564,1
565,3
566,4
567,2
568,3
569,1
570,5
571,1
572,3
573,1
574,2
575,4
576,4
577,2
578,1
579,5
580,3
581,3
582,3
583,3
584,5
585,5
586,1
587,2
588,2
589,4
590,1
591,5
592,2
593,1
594,1
595,3
596,5
597,3
598,2
599,2
600,3
601,1
602,3
603,2
604,2
605,5
606,3
607,3
608,1
609,2
610,5
611,3
612,2
613,5
614,2
615,1
616,5
617,5
618,3
619,2
620,2
621,2
622,1
623,2
624,2
625,1
626,2
627,1
628,3
629,4
630,2
631,4
632,1
633,4
634,3
635,1
636,3
637,5
638,5
639,5
640,3
641,2
642,1
643,2
644,1
645,3
646,1
647,5
648,2
649,5
650,4
651,2
652,3
653,2
654,3
655,3
656,3
657,1
658,3
659,5
660,2
661,3
662,2
663,1
664,2
665,3
666,5
667,4
668,3
669,5
670,5
671,1
672,4
673,2
674,1
675,2
676,2
677,1
678,2
679,5
680,2
681,5
682,4
683,5
684,3
685,4
686,3
687,1
688,1
689,4
690,4
691,3
692,5
693,3
694,5
695,1
696,2
697,5
698,3
699,2
700,3
701,1
702,2
703,4
704,3
705,3
706,1
707,3
708,5
709,3
710,1
711,1
712,1
713,3
714,4
715,2
716,5
717,3
718,1
719,1
720,2
721,2
722,2
723,3
724,4
725,1
726,1
727,2
728,4
729,3
730,5
731,2
732,4
733,5
734,3
735,3
736,1
737,2
738,3
739,2
740,5
741,1
742,5
743,3
744,5
745,1
746,3
747,5
748,3
749,2
750,3
751,5
752,1
753,2
754,1
755,1
756,2
757,3
758,1
759,1
760,2
761,2
762,2
763,3
764,3
765,2
766,5
767,1
768,4
769,1
770,4
771,2
772,5
773,1
774,5
775,4
776,2
777,1
778,2
779,1
780,5
781,1
782,3
783,2
784,5
785,1
786,5
787,3
788,3
789,2
790,1
791,2
792,1
793,5
794,3
795,1
796,5
797,5
798,3
